Município;Dose;Total Doses Aplicadas
SANTA CRUZ DA CONCEIÇÃO;3º DOSE;629
SANTA CLARA D'OESTE;3º DOSE;242
SANTA BRANCA;3º DOSE;859
SANTA BÁRBARA D'OESTE;3º DOSE;9580
SANTA ALBERTINA;3º DOSE;468
SANTA ADÉLIA;3º DOSE;1427
SANDOVALINA;3º DOSE;285
SALTO GRANDE;3º DOSE;547
SALTO DE PIRAPORA;3º DOSE;2683
SALTO;3º DOSE;6899
SALTINHO;3º DOSE;468
SALMOURÃO;3º DOSE;382
SALESÓPOLIS;3º DOSE;1126
SALES OLIVEIRA;3º DOSE;854
SALES;3º DOSE;657
SAGRES;3º DOSE;185
SABINO;3º DOSE;481
RUBINÉIA;3º DOSE;294
RUBIÁCEA;3º DOSE;285
ROSEIRA;3º DOSE;605
ROSANA;3º DOSE;1448
RIVERSUL;3º DOSE;388
RIOLÂNDIA;3º DOSE;464
RIO GRANDE DA SERRA;3º DOSE;551
RIO DAS PEDRAS;3º DOSE;1596
RIO CLARO;3º DOSE;15844
RINÓPOLIS;3º DOSE;909
RINCÃO;3º DOSE;690
RIFAINA;3º DOSE;286
RIBEIRÃO PRETO;3º DOSE;53816
RIBEIRÃO PIRES;3º DOSE;7531
RIBEIRÃO GRANDE;3º DOSE;438
RIBEIRÃO DOS ÍNDIOS;3º DOSE;377
RIBEIRÃO DO SUL;3º DOSE;479
RIBEIRÃO CORRENTE;3º DOSE;247
RIBEIRÃO BRANCO;3º DOSE;837
RIBEIRÃO BONITO;3º DOSE;870
RIBEIRA;3º DOSE;230
RESTINGA;3º DOSE;324
REGISTRO;3º DOSE;3742
REGINÓPOLIS;3º DOSE;635
REGENTE FEIJÓ;3º DOSE;1375
REDENÇÃO DA SERRA;3º DOSE;289
RANCHARIA;3º DOSE;2221
RAFARD;3º DOSE;522
QUINTANA;3º DOSE;592
QUELUZ;3º DOSE;573
QUEIROZ;3º DOSE;230
QUATÁ;3º DOSE;977
QUADRA;3º DOSE;145
PROMISSÃO;3º DOSE;2861
PRESIDENTE VENCESLAU;3º DOSE;3257
PRESIDENTE PRUDENTE;3º DOSE;19527
PRESIDENTE EPITÁCIO;3º DOSE;2568
PRESIDENTE BERNARDES;3º DOSE;1436
PRESIDENTE ALVES;3º DOSE;330
PRATÂNIA;3º DOSE;311
PRAIA GRANDE;3º DOSE;20633
PRADÓPOLIS;3º DOSE;985
PRACINHA;3º DOSE;177
POTIRENDABA;3º DOSE;1601
POTIM;3º DOSE;979
PORTO FERREIRA;3º DOSE;3716
PORTO FELIZ;3º DOSE;2815
PORANGABA;3º DOSE;807
POPULINA;3º DOSE;501
PONTES GESTAL;3º DOSE;246
PONTALINDA;3º DOSE;331
PONTAL;3º DOSE;1605
PONGAÍ;3º DOSE;381
POMPÉIA;3º DOSE;1445
POLONI;3º DOSE;738
POÁ;3º DOSE;6208
PLATINA;3º DOSE;311
PLANALTO;3º DOSE;314
PITANGUEIRAS;3º DOSE;2383
PIRATININGA;3º DOSE;969
PIRASSUNUNGA;3º DOSE;5400
PIRAPOZINHO;3º DOSE;1397
PIRAPORA DO BOM JESUS;3º DOSE;656
PIRANGI;3º DOSE;1184
PIRAJUÍ;3º DOSE;719
PIRAJU;3º DOSE;2663
PIRACICABA;3º DOSE;26824
PIRACAIA;3º DOSE;1842
PIQUETE;3º DOSE;780
PIQUEROBI;3º DOSE;355
PINHALZINHO;3º DOSE;994
PINDORAMA;3º DOSE;1659
PINDAMONHANGABA;3º DOSE;7971
PILAR DO SUL;3º DOSE;1726
PIEDADE;3º DOSE;2328
PIACATU;3º DOSE;489
PERUÍBE;3º DOSE;5155
PEREIRAS;3º DOSE;700
PEREIRA BARRETO;3º DOSE;1873
PENÁPOLIS;3º DOSE;4829
PEDRO DE TOLEDO;3º DOSE;793
PEDRINHAS PAULISTA;3º DOSE;379
PEDREIRA;3º DOSE;3048
PEDREGULHO;3º DOSE;1355
PEDRANÓPOLIS;3º DOSE;292
PEDRA BELA;3º DOSE;509
PEDERNEIRAS;3º DOSE;2641
PAULO DE FARIA;3º DOSE;940
PAULISTÂNIA;3º DOSE;200
PAULÍNIA;3º DOSE;5754
PAULICÉIA;3º DOSE;447
PATROCÍNIO PAULISTA;3º DOSE;998
PARISI;3º DOSE;317
PARIQUERA-AÇU;3º DOSE;2159
PARDINHO;3º DOSE;399
PARAPUÃ;3º DOSE;1024
PARANAPUÃ;3º DOSE;441
PARANAPANEMA;3º DOSE;1079
PARAÍSO;3º DOSE;562
PARAIBUNA;3º DOSE;912
PARAGUAÇU PAULISTA;3º DOSE;3181
PANORAMA;3º DOSE;955
PALMITAL;3º DOSE;2184
PALMEIRA D'OESTE;3º DOSE;1226
PALMARES PAULISTA;3º DOSE;616
PALESTINA;3º DOSE;1001
PACAEMBU;3º DOSE;1282
OUROESTE;3º DOSE;876
OURO VERDE;3º DOSE;554
OURINHOS;3º DOSE;8373
OSVALDO CRUZ;3º DOSE;3091
OSCAR BRESSANE;3º DOSE;295
OSASCO;3º DOSE;31677
ORLÂNDIA;3º DOSE;2307
ORINDIÚVA;3º DOSE;458
ORIENTE;3º DOSE;459
ONDA VERDE;3º DOSE;335
OLÍMPIA;3º DOSE;4211
ÓLEO;3º DOSE;223
OCAUÇU;3º DOSE;461
NUPORANGA;3º DOSE;617
NOVO HORIZONTE;3º DOSE;3252
NOVAIS;3º DOSE;392
NOVA ODESSA;3º DOSE;2627
NOVA LUZITÂNIA;3º DOSE;311
NOVA INDEPENDÊNCIA;3º DOSE;339
NOVA GUATAPORANGA;3º DOSE;178
NOVA GRANADA;3º DOSE;1562
NOVA EUROPA;3º DOSE;666
NOVA CASTILHO;3º DOSE;104
NOVA CANAÃ PAULISTA;3º DOSE;284
NOVA CAMPINA;3º DOSE;606
NOVA ALIANÇA;3º DOSE;683
NIPOÃ;3º DOSE;299
NHANDEARA;3º DOSE;1244
NEVES PAULISTA;3º DOSE;1203
NAZARÉ PAULISTA;3º DOSE;1040
NATIVIDADE DA SERRA;3º DOSE;384
NARANDIBA;3º DOSE;395
NANTES;3º DOSE;203
MURUTINGA DO SUL;3º DOSE;536
MOTUCA;3º DOSE;382
MORUNGABA;3º DOSE;837
MORRO AGUDO;3º DOSE;1725
MONTEIRO LOBATO;3º DOSE;289
MONTE MOR;3º DOSE;1921
MONTE CASTELO;3º DOSE;373
MONTE AZUL PAULISTA;3º DOSE;1639
MONTE APRAZÍVEL;3º DOSE;2079
MONTE ALTO;3º DOSE;3615
MONTE ALEGRE DO SUL;3º DOSE;530
MONGAGUÁ;3º DOSE;2873
MONÇÕES;3º DOSE;216
MOMBUCA;3º DOSE;282
MOGI MIRIM;3º DOSE;6786
MOGI GUAÇU;3º DOSE;7865
MOGI DAS CRUZES;3º DOSE;26950
MOCOCA;3º DOSE;5200
MIRASSOLÂNDIA;3º DOSE;487
MIRASSOL;3º DOSE;3485
MIRANTE DO PARANAPANEMA;3º DOSE;1160
MIRANDÓPOLIS;3º DOSE;2667
MIRACATU;3º DOSE;1078
MIRA ESTRELA;3º DOSE;394
MINEIROS DO TIETÊ;3º DOSE;893
MIGUELÓPOLIS;3º DOSE;1429
MESÓPOLIS;3º DOSE;291
MERIDIANO;3º DOSE;410
MENDONÇA;3º DOSE;578
MAUÁ;3º DOSE;22935
MATÃO;3º DOSE;5929
MARTINÓPOLIS;3º DOSE;1947
MARINÓPOLIS;3º DOSE;197
MARÍLIA;3º DOSE;17781
MARIÁPOLIS;3º DOSE;352
MARAPOAMA;3º DOSE;285
MARACAÍ;3º DOSE;980
MARABÁ PAULISTA;3º DOSE;306
MANDURI;3º DOSE;823
MAIRIPORÃ;3º DOSE;5062
MAIRINQUE;3º DOSE;2008
MAGDA;3º DOSE;338
MACEDÔNIA;3º DOSE;388
MACAUBAL;3º DOSE;698
MACATUBA;3º DOSE;1239
LUTÉCIA;3º DOSE;286
LUPÉRCIO;3º DOSE;247
LUIZIÂNIA;3º DOSE;304
LUÍS ANTÔNIO;3º DOSE;746
LUCIANÓPOLIS;3º DOSE;238
LUCÉLIA;3º DOSE;1639
LOUVEIRA;3º DOSE;2085
LOURDES;3º DOSE;342
LORENA;3º DOSE;5314
LINS;3º DOSE;6580
LINDÓIA;3º DOSE;528
LIMEIRA;3º DOSE;15688
LENÇÓIS PAULISTA;3º DOSE;3090
LEME;3º DOSE;6755
LAVRINHAS;3º DOSE;290
LAVÍNIA;3º DOSE;431
LARANJAL PAULISTA;3º DOSE;1865
LAGOINHA;3º DOSE;658
JUQUITIBA;3º DOSE;1623
JUQUIÁ;3º DOSE;1144
JUNQUEIRÓPOLIS;3º DOSE;1773
JUNDIAÍ;3º DOSE;31433
JUMIRIM;3º DOSE;203
JÚLIO MESQUITA;3º DOSE;349
JOSÉ BONIFÁCIO;3º DOSE;2900
JOÃO RAMALHO;3º DOSE;292
JOANÓPOLIS;3º DOSE;985
JERIQUARA;3º DOSE;158
JAÚ;3º DOSE;10248
JARINU;3º DOSE;1155
JARDINÓPOLIS;3º DOSE;2320
JANDIRA;3º DOSE;3841
JAMBEIRO;3º DOSE;436
JALES;3º DOSE;4362
JAGUARIÚNA;3º DOSE;3012
JACUPIRANGA;3º DOSE;1020
JACI;3º DOSE;623
JACAREÍ;3º DOSE;11877
JABOTICABAL;3º DOSE;6040
JABORANDI;3º DOSE;489
ITUVERAVA;3º DOSE;3310
ITUPEVA;3º DOSE;1927
ITU;3º DOSE;11815
ITOBI;3º DOSE;456
ITIRAPUÃ;3º DOSE;429
ITIRAPINA;3º DOSE;904
ITATINGA;3º DOSE;887
ITATIBA;3º DOSE;7526
ITARIRI;3º DOSE;910
ITARARÉ;3º DOSE;2413
ITAQUAQUECETUBA;3º DOSE;10639
ITAPURA;3º DOSE;360
ITAPUÍ;3º DOSE;828
ITAPORANGA;3º DOSE;1029
ITÁPOLIS;3º DOSE;2966
ITAPIRAPUÃ PAULISTA;3º DOSE;205
ITAPIRA;3º DOSE;5813
ITAPEVI;3º DOSE;6429
ITAPEVA;3º DOSE;5988
ITAPETININGA;3º DOSE;11469
ITAPECERICA DA SERRA;3º DOSE;6469
ITAOCA;3º DOSE;333
ITANHAÉM;3º DOSE;8745
ITAJU;3º DOSE;248
ITAJOBI;3º DOSE;1552
ITAÍ;3º DOSE;1441
ITABERÁ;3º DOSE;1604
IRAPURU;3º DOSE;663
IRAPUÃ;3º DOSE;571
IRACEMÁPOLIS;3º DOSE;1110
IPUÃ;3º DOSE;984
IPORANGA;3º DOSE;333
IPIGUÁ;3º DOSE;478
IPEÚNA;3º DOSE;352
IPERÓ;3º DOSE;1376
IPAUSSU;3º DOSE;1113
INÚBIA PAULISTA;3º DOSE;416
INDIAPORÃ;3º DOSE;466
INDIANA;3º DOSE;394
INDAIATUBA;3º DOSE;17653
ILHABELA;3º DOSE;2120
ILHA SOLTEIRA;3º DOSE;2664
ILHA COMPRIDA;3º DOSE;771
IGUAPE;3º DOSE;2314
IGARATÁ;3º DOSE;654
IGARAPAVA;3º DOSE;1704
IGARAÇU DO TIETÊ;3º DOSE;1321
IEPÊ;3º DOSE;916
ICÉM;3º DOSE;596
IBIÚNA;3º DOSE;1215
IBITINGA;3º DOSE;4676
IBIRAREMA;3º DOSE;654
IBIRÁ;3º DOSE;1021
IBATÉ;3º DOSE;1628
IARAS;3º DOSE;436
IACRI;3º DOSE;578
IACANGA;3º DOSE;971
HORTOLÂNDIA;3º DOSE;7946
HOLAMBRA;3º DOSE;792
HERCULÂNDIA;3º DOSE;527
GUZOLÂNDIA;3º DOSE;434
GUATAPARÁ;3º DOSE;623
GUARULHOS;3º DOSE;60548
GUARUJÁ;3º DOSE;16113
GUARIBA;3º DOSE;1860
GUAREÍ;3º DOSE;861
GUARATINGUETÁ;3º DOSE;6984
GUARAREMA;3º DOSE;1749
GUARARAPES;3º DOSE;2675
GUARANTÃ;3º DOSE;523
GUARANI D'OESTE;3º DOSE;262
GUARACI;3º DOSE;857
GUARAÇAÍ;3º DOSE;732
GUARÁ;3º DOSE;1786
GUAPIARA;3º DOSE;767
GUAPIAÇU;3º DOSE;1246
GUAÍRA;3º DOSE;3040
GUAIMBÊ;3º DOSE;433
GUAIÇARA;3º DOSE;583
GLICÉRIO;3º DOSE;365
GETULINA;3º DOSE;795
GENERAL SALGADO;3º DOSE;1037
GAVIÃO PEIXOTO;3º DOSE;320
GASTÃO VIDIGAL;3º DOSE;377
GARÇA;3º DOSE;3185
GÁLIA;3º DOSE;800
GABRIEL MONTEIRO;3º DOSE;252
FRANCO DA ROCHA;3º DOSE;6569
FRANCISCO MORATO;3º DOSE;5139
FRANCA;3º DOSE;20244
FLORÍNEA;3º DOSE;347
FLÓRIDA PAULISTA;3º DOSE;1206
FLOREAL;3º DOSE;503
FLORA RICA;3º DOSE;280
FERRAZ DE VASCONCELOS;3º DOSE;8150
FERNÃO;3º DOSE;197
FERNANDÓPOLIS;3º DOSE;7504
FERNANDO PRESTES;3º DOSE;735
FARTURA;3º DOSE;1290
EUCLIDES DA CUNHA PAULISTA;3º DOSE;543
ESTRELA DO NORTE;3º DOSE;216
ESTRELA D'OESTE;3º DOSE;908
ESTIVA GERBI;3º DOSE;557
ESPÍRITO SANTO DO TURVO;3º DOSE;294
ESPÍRITO SANTO DO PINHAL;3º DOSE;4176
ENGENHEIRO COELHO;3º DOSE;790
EMILIANÓPOLIS;3º DOSE;389
EMBU-GUAÇU;3º DOSE;3851
EMBU DAS ARTES;3º DOSE;20065
EMBAÚBA;3º DOSE;250
ELISIÁRIO;3º DOSE;361
ELIAS FAUSTO;3º DOSE;1046
ELDORADO;3º DOSE;820
ECHAPORÃ;3º DOSE;618
DUMONT;3º DOSE;593
DUARTINA;3º DOSE;1027
DRACENA;3º DOSE;4011
DOURADO;3º DOSE;733
DOLCINÓPOLIS;3º DOSE;263
DOIS CÓRREGOS;3º DOSE;1912
DOBRADA;3º DOSE;302
DIVINOLÂNDIA;3º DOSE;1349
DIRCE REIS;3º DOSE;261
DIADEMA;3º DOSE;16418
DESCALVADO;3º DOSE;3704
CUNHA;3º DOSE;1463
CUBATÃO;3º DOSE;5365
CRUZEIRO;3º DOSE;5091
CRUZÁLIA;3º DOSE;218
CRISTAIS PAULISTA;3º DOSE;486
CRAVINHOS;3º DOSE;1568
COTIA;3º DOSE;9598
COSMORAMA;3º DOSE;904
COSMÓPOLIS;3º DOSE;2037
CORUMBATAÍ;3º DOSE;325
CORONEL MACEDO;3º DOSE;505
COROADOS;3º DOSE;577
CORDEIRÓPOLIS;3º DOSE;1886
CONCHAS;3º DOSE;1186
CONCHAL;3º DOSE;1528
COLÔMBIA;3º DOSE;455
COLINA;3º DOSE;1276
CLEMENTINA;3º DOSE;625
CHAVANTES;3º DOSE;809
CHARQUEADA;3º DOSE;881
CESÁRIO LANGE;3º DOSE;838
CERQUILHO;3º DOSE;3033
CERQUEIRA CÉSAR;3º DOSE;1416
CEDRAL;3º DOSE;895
CATIGUÁ;3º DOSE;704
CATANDUVA;3º DOSE;11543
CASTILHO;3º DOSE;1438
CÁSSIA DOS COQUEIROS;3º DOSE;277
CASA BRANCA;3º DOSE;1514
CARDOSO;3º DOSE;1015
CARAPICUÍBA;3º DOSE;15194
CARAGUATATUBA;3º DOSE;7196
CAPIVARI;3º DOSE;3023
CAPELA DO ALTO;3º DOSE;603
CAPÃO BONITO;3º DOSE;2881
CANITAR;3º DOSE;262
CÂNDIDO RODRIGUES;3º DOSE;333
CÂNDIDO MOTA;3º DOSE;2358
CANAS;3º DOSE;220
CANANÉIA;3º DOSE;873
CAMPOS NOVOS PAULISTA;3º DOSE;297
CAMPOS DO JORDÃO;3º DOSE;2932
CAMPO LIMPO PAULISTA;3º DOSE;3060
CAMPINAS;3º DOSE;85335
CAMPINA DO MONTE ALEGRE;3º DOSE;353
CAJURU;3º DOSE;2077
CAJOBI;3º DOSE;896
CAJATI;3º DOSE;1525
CAJAMAR;3º DOSE;2687
CAIUÁ;3º DOSE;326
CAIEIRAS;3º DOSE;5439
CAIABU;3º DOSE;275
CAFELÂNDIA;3º DOSE;1115
CACONDE;3º DOSE;1451
CACHOEIRA PAULISTA;3º DOSE;2116
CAÇAPAVA;3º DOSE;5142
CABREÚVA;3º DOSE;1421
CABRÁLIA PAULISTA;3º DOSE;373
BURITIZAL;3º DOSE;376
BURITAMA;3º DOSE;1577
BURI;3º DOSE;768
BROTAS;3º DOSE;1547
BRODOWSKI;3º DOSE;1869
BREJO ALEGRE;3º DOSE;266
BRAÚNA;3º DOSE;514
BRAGANÇA PAULISTA;3º DOSE;14592
BOTUCATU;3º DOSE;15900
BOREBI;3º DOSE;97
BORBOREMA;3º DOSE;1381
BORACÉIA;3º DOSE;417
BORÁ;3º DOSE;80
BOM SUCESSO DE ITARARÉ;3º DOSE;178
BOM JESUS DOS PERDÕES;3º DOSE;978
BOITUVA;3º DOSE;2796
BOFETE;3º DOSE;592
BOCAINA;3º DOSE;980
BOA ESPERANÇA DO SUL;3º DOSE;898
BIRITIBA MIRIM;3º DOSE;1621
BIRIGUI;3º DOSE;8017
BILAC;3º DOSE;814
BERTIOGA;3º DOSE;3575
BERNARDINO DE CAMPOS;3º DOSE;849
BENTO DE ABREU;3º DOSE;213
BEBEDOURO;3º DOSE;7028
BAURU;3º DOSE;27224
BATATAIS;3º DOSE;5018
BASTOS;3º DOSE;1674
BARUERI;3º DOSE;12557
BARRINHA;3º DOSE;1164
BARRETOS;3º DOSE;11566
BARRA DO TURVO;3º DOSE;522
BARRA DO CHAPÉU;3º DOSE;263
BARRA BONITA;3º DOSE;3322
BARIRI;3º DOSE;2422
BARBOSA;3º DOSE;514
BARÃO DE ANTONINA;3º DOSE;324
BANANAL;3º DOSE;779
BÁLSAMO;3º DOSE;870
BALBINOS;3º DOSE;308
BADY BASSITT;3º DOSE;1093
AVARÉ;3º DOSE;6741
AVANHANDAVA;3º DOSE;690
AVAÍ;3º DOSE;407
AURIFLAMA;3º DOSE;1216
ATIBAIA;3º DOSE;10083
ASSIS;3º DOSE;8834
ASPÁSIA;3º DOSE;255
ARUJÁ;3º DOSE;3900
ARTUR NOGUEIRA;3º DOSE;2317
ARIRANHA;3º DOSE;943
AREIÓPOLIS;3º DOSE;463
AREIAS;3º DOSE;251
AREALVA;3º DOSE;781
ARCO-ÍRIS;3º DOSE;303
ARARAS;3º DOSE;9374
ARARAQUARA;3º DOSE;18832
ARAPEÍ;3º DOSE;242
ARANDU;3º DOSE;496
ARAMINA;3º DOSE;412
ARAÇOIABA DA SERRA;3º DOSE;2082
ARAÇATUBA;3º DOSE;15714
ARAÇARIGUAMA;3º DOSE;753
APIAÍ;3º DOSE;1359
APARECIDA D'OESTE;3º DOSE;598
APARECIDA;3º DOSE;2069
ANHUMAS;3º DOSE;292
ANHEMBI;3º DOSE;375
ANGATUBA;3º DOSE;1189
ANDRADINA;3º DOSE;3751
ANALÂNDIA;3º DOSE;284
AMPARO;3º DOSE;6135
AMÉRICO DE CAMPOS;3º DOSE;477
AMÉRICO BRASILIENSE;3º DOSE;2607
AMERICANA;3º DOSE;14138
ALVINLÂNDIA;3º DOSE;199
ÁLVARO DE CARVALHO;3º DOSE;344
ÁLVARES MACHADO;3º DOSE;1709
ÁLVARES FLORENCE;3º DOSE;405
ALUMÍNIO;3º DOSE;870
ALTO ALEGRE;3º DOSE;466
ALTINÓPOLIS;3º DOSE;1675
ALTAIR;3º DOSE;369
ALFREDO MARCONDES;3º DOSE;578
ALAMBARI;3º DOSE;332
AGUDOS;3º DOSE;2425
ÁGUAS DE SÃO PEDRO;3º DOSE;537
ÁGUAS DE SANTA BÁRBARA;3º DOSE;557
ÁGUAS DE LINDÓIA;3º DOSE;1430
ÁGUAS DA PRATA;3º DOSE;797
AGUAÍ;3º DOSE;2124
ADOLFO;3º DOSE;510
ADAMANTINA;3º DOSE;3537
ZACARIAS;2° DOSE;1925
VOTUPORANGA;2° DOSE;68116
VOTORANTIM;2° DOSE;70917
VITÓRIA BRASIL;2° DOSE;1250
VISTA ALEGRE DO ALTO;2° DOSE;5688
VIRADOURO;2° DOSE;12692
VINHEDO;2° DOSE;52385
VERA CRUZ;2° DOSE;7606
VÁRZEA PAULISTA;2° DOSE;68993
VARGEM GRANDE PAULISTA;2° DOSE;30189
VARGEM GRANDE DO SUL;2° DOSE;29243
VARGEM;2° DOSE;6976
VALPARAÍSO;2° DOSE;16915
VALINHOS;2° DOSE;89215
VALENTIM GENTIL;2° DOSE;10146
URUPÊS;2° DOSE;10397
URU;2° DOSE;1125
URÂNIA;2° DOSE;6362
UNIÃO PAULISTA;2° DOSE;1229
UCHOA;2° DOSE;7442
UBIRAJARA;2° DOSE;3063
UBATUBA;2° DOSE;58538
UBARANA;2° DOSE;3997
TURMALINA;2° DOSE;1618
TURIÚBA;2° DOSE;1493
TUPI PAULISTA;2° DOSE;12399
TUPÃ;2° DOSE;48369
TUIUTI;2° DOSE;4765
TRÊS FRONTEIRAS;2° DOSE;4585
TREMEMBÉ;2° DOSE;32243
TRABIJU;2° DOSE;1261
TORRINHA;2° DOSE;7314
TORRE DE PEDRA;2° DOSE;2138
TIMBURI;2° DOSE;2048
TIETÊ;2° DOSE;28223
TERRA ROXA;2° DOSE;6031
TEODORO SAMPAIO;2° DOSE;14942
TEJUPÁ;2° DOSE;3083
TAUBATÉ;2° DOSE;210936
TATUÍ;2° DOSE;81392
TARUMÃ;2° DOSE;10671
TARABAI;2° DOSE;4865
TAQUARIVAÍ;2° DOSE;3514
TAQUARITUBA;2° DOSE;17449
TAQUARITINGA;2° DOSE;39659
TAQUARAL;2° DOSE;2018
TAPIRATIBA;2° DOSE;9307
TAPIRAÍ;2° DOSE;5763
TANABI;2° DOSE;18618
TAMBAÚ;2° DOSE;14604
TAIÚVA;2° DOSE;4433
TAIAÇU;2° DOSE;4246
TAGUAÍ;2° DOSE;9110
TACIBA;2° DOSE;4107
TABOÃO DA SERRA;2° DOSE;170325
TABATINGA;2° DOSE;10506
TABAPUÃ;2° DOSE;8510
SUZANO;2° DOSE;171529
SUZANÁPOLIS;2° DOSE;2602
SUMARÉ;2° DOSE;169122
SUD MENNUCCI;2° DOSE;5346
SOROCABA;2° DOSE;432584
SOCORRO;2° DOSE;29612
SILVEIRAS;2° DOSE;4731
SEVERÍNIA;2° DOSE;10599
SETE BARRAS;2° DOSE;7796
SERTÃOZINHO;2° DOSE;86862
SERRANA;2° DOSE;34442
SERRA NEGRA;2° DOSE;20995
SERRA AZUL;2° DOSE;9774
SEBASTIANÓPOLIS DO SUL;2° DOSE;2765
SARUTAIÁ;2° DOSE;2628
SARAPUÍ;2° DOSE;6792
SÃO VICENTE;2° DOSE;211397
SÃO SIMÃO;2° DOSE;10266
SÃO SEBASTIÃO DA GRAMA;2° DOSE;8334
SÃO SEBASTIÃO;2° DOSE;56295
SÃO ROQUE;2° DOSE;52348
SÃO PEDRO DO TURVO;2° DOSE;4983
SÃO PEDRO;2° DOSE;20968
SÃO PAULO;2° DOSE;8539896
SÃO MIGUEL ARCANJO;2° DOSE;22561
SÃO MANUEL;2° DOSE;25391
SÃO LUIZ DO PARAITINGA;2° DOSE;8618
SÃO LOURENÇO DA SERRA;2° DOSE;9655
SÃO JOSÉ DOS CAMPOS;2° DOSE;481209
SÃO JOSÉ DO RIO PRETO;2° DOSE;338457
SÃO JOSÉ DO RIO PARDO;2° DOSE;37928
SÃO JOSÉ DO BARREIRO;2° DOSE;3166
SÃO JOSÉ DA BELA VISTA;2° DOSE;5489
SÃO JOAQUIM DA BARRA;2° DOSE;36037
SÃO JOÃO DO PAU D'ALHO;2° DOSE;1683
SÃO JOÃO DE IRACEMA;2° DOSE;1366
SÃO JOÃO DAS DUAS PONTES;2° DOSE;1987
SÃO JOÃO DA BOA VISTA;2° DOSE;66327
SÃO FRANCISCO;2° DOSE;2348
SÃO CARLOS;2° DOSE;184413
SÃO CAETANO DO SUL;2° DOSE;118596
SÃO BERNARDO DO CAMPO;2° DOSE;553817
SÃO BENTO DO SAPUCAÍ;2° DOSE;8678
SANTOS;2° DOSE;309280
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;3053
SANTO EXPEDITO;2° DOSE;2298
SANTO ANTÔNIO DO PINHAL;2° DOSE;4669
SANTO ANTÔNIO DO JARDIM;2° DOSE;4575
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;5794
SANTO ANTÔNIO DE POSSE;2° DOSE;14358
SANTO ANTÔNIO DA ALEGRIA;2° DOSE;5352
SANTO ANDRÉ;2° DOSE;476711
SANTO ANASTÁCIO;2° DOSE;12984
SANTANA DE PARNAÍBA;2° DOSE;101736
SANTANA DA PONTE PENSA;2° DOSE;1286
SANTA SALETE;2° DOSE;1362
SANTA ROSA DE VITERBO;2° DOSE;17374
SANTA RITA DO PASSA QUATRO;2° DOSE;19080
SANTA RITA D'OESTE;2° DOSE;2107
SANTA MERCEDES;2° DOSE;2140
SANTA MARIA DA SERRA;2° DOSE;3682
SANTA LÚCIA;2° DOSE;5404
SANTA ISABEL;2° DOSE;36588
SANTA GERTRUDES;2° DOSE;14771
SANTA FÉ DO SUL;2° DOSE;24908
SANTA ERNESTINA;2° DOSE;4353
SANTA CRUZ DO RIO PARDO;2° DOSE;35576
SANTA CRUZ DAS PALMEIRAS;2° DOSE;20549
SANTA CRUZ DA ESPERANÇA;2° DOSE;1644
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;3306
SANTA CLARA D'OESTE;2° DOSE;1782
SANTA BRANCA;2° DOSE;9474
SANTA BÁRBARA D'OESTE;2° DOSE;122469
SANTA ALBERTINA;2° DOSE;4739
SANTA ADÉLIA;2° DOSE;10485
SANDOVALINA;2° DOSE;2637
SALTO GRANDE;2° DOSE;5606
SALTO DE PIRAPORA;2° DOSE;29702
SALTO;2° DOSE;82330
SALTINHO;2° DOSE;5857
SALMOURÃO;2° DOSE;3526
SALESÓPOLIS;2° DOSE;12133
SALES OLIVEIRA;2° DOSE;8174
SALES;2° DOSE;4898
SAGRES;2° DOSE;1652
SABINO;2° DOSE;3670
RUBINÉIA;2° DOSE;2572
RUBIÁCEA;2° DOSE;2063
ROSEIRA;2° DOSE;7581
ROSANA;2° DOSE;12320
RIVERSUL;2° DOSE;4489
RIOLÂNDIA;2° DOSE;7390
RIO GRANDE DA SERRA;2° DOSE;13938
RIO DAS PEDRAS;2° DOSE;21324
RIO CLARO;2° DOSE;139333
RINÓPOLIS;2° DOSE;6201
RINCÃO;2° DOSE;6859
RIFAINA;2° DOSE;2961
RIBEIRÃO PRETO;2° DOSE;466693
RIBEIRÃO PIRES;2° DOSE;82857
RIBEIRÃO GRANDE;2° DOSE;5968
RIBEIRÃO DOS ÍNDIOS;2° DOSE;1695
RIBEIRÃO DO SUL;2° DOSE;3616
RIBEIRÃO CORRENTE;2° DOSE;3475
RIBEIRÃO BRANCO;2° DOSE;12425
RIBEIRÃO BONITO;2° DOSE;8349
RIBEIRA;2° DOSE;2306
RESTINGA;2° DOSE;5082
REGISTRO;2° DOSE;37797
REGINÓPOLIS;2° DOSE;7678
REGENTE FEIJÓ;2° DOSE;14771
REDENÇÃO DA SERRA;2° DOSE;3064
RANCHARIA;2° DOSE;21844
RAFARD;2° DOSE;5821
QUINTANA;2° DOSE;4999
QUELUZ;2° DOSE;6683
QUEIROZ;2° DOSE;2482
QUATÁ;2° DOSE;9666
QUADRA;2° DOSE;2611
PROMISSÃO;2° DOSE;24910
PRESIDENTE VENCESLAU;2° DOSE;25254
PRESIDENTE PRUDENTE;2° DOSE;162748
PRESIDENTE EPITÁCIO;2° DOSE;27504
PRESIDENTE BERNARDES;2° DOSE;9830
PRESIDENTE ALVES;2° DOSE;2864
PRATÂNIA;2° DOSE;3937
PRAIA GRANDE;2° DOSE;212996
